date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:26:27	1865/1865	---M--	200	added ('OK')	image/gif	etag:W/%221865-1712018860000%22	https://seal.globalsign.com/SiteSeal/images/gs_noscript_110-45_en.gif	D:/ecofuturo/ecofuturo/seal.globalsign.com/SiteSeal/images/gs_noscript_110-45_en.gif	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jun%202024%2005:26:25%20GMT	http://seal.globalsign.com/SiteSeal/gmogs_image_110-45_en_blue.js	D:/ecofuturo/ecofuturo/seal.globalsign.com/SiteSeal/gmogs_image_110-45_en_blue.a.delayed	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:27	1651/1651	---M--	200	added ('OK')	application/javascript	etag:W/%221651-1712018860000%22	https://seal.globalsign.com/SiteSeal/gmogs_image_110-45_en_blue.js	D:/ecofuturo/ecofuturo/seal.globalsign.com/SiteSeal/gmogs_image_110-45_en_blue.js	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:29	2431/2431	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2015%20Aug%202023%2019:18:00%20GMT	https://www.gstatic.com/dialogflow-console/fast/messenger/bootstrap.js?v=1	D:/ecofuturo/ecofuturo/www.gstatic.com/dialogflow-console/fast/messenger/bootstrap3860.js	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:30	287136/287136	---M--	200	added ('OK')	image/png	etag:%22857115eb689da1:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/PUNTORECLAMO.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/PUNTORECLAMO.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:33	943619/943619	---M--	200	added ('OK')	image/png	etag:%22bb096122554d81:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/PasosRegistro/REGISTRO_ECONET-01.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/PasosRegistro/REGISTRO_ECONET-01.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:34	13501/13501	---M--	200	added ('OK')	image/png	etag:%22164695eb689da1:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/iconos/puntostencion.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/iconos/puntostencion.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:34	1289544/1289544	---M--	200	added ('OK')	image/png	etag:%221be09b122554d81:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/PasosRegistro/REGISTRO_ECONET-02.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/PasosRegistro/REGISTRO_ECONET-02.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:34	14491/14491	---M--	200	added ('OK')	image/png	etag:%22f3d695eb689da1:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/iconos/medidasseguridad.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/iconos/medidasseguridad.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:35	22669/22669	---M--	200	added ('OK')	image/png	etag:%223453685eb689da1:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/iconos/contactanosicon.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/iconos/contactanosicon.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:36	32429/32429	---M--	200	added ('OK')	image/png	etag:%22f3d695eb689da1:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/iconos/puntoreclamo.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/iconos/puntoreclamo.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:36	1056345/1056345	---M--	200	added ('OK')	image/png	etag:%22574a0122554d81:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/PasosRegistro/REGISTRO_ECONET-03.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/PasosRegistro/REGISTRO_ECONET-03.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:36	12417/12417	---M--	200	added ('OK')	image/png	etag:%22ca3685eb689da1:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/iconos/iconosfb.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/iconos/iconosfb.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:36	834803/834803	---M--	200	added ('OK')	image/png	etag:%229acfa3122554d81:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/PasosRegistro/REGISTRO_ECONET-04.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/PasosRegistro/REGISTRO_ECONET-04.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:36	18469/18469	---M--	200	added ('OK')	image/png	etag:%22ca3685eb689da1:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/iconos/iconosig.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/iconos/iconosig.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:37	13327/13327	---M--	200	added ('OK')	image/png	etag:%222cc8685eb689da1:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/iconos/iconosln.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/iconos/iconosln.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:37	13022/13022	---M--	200	added ('OK')	image/png	etag:%222cc8685eb689da1:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/iconos/iconosyt.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/iconos/iconosyt.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
